,0,1,2,3,4,5,6
1,2012안건234,조선일보,9.  01.,1면,범인  고종석의  얼굴,사생활보호,시정권고
2,2012안건235,조선일보,9.  01.,"4,5면",범인은  술·게임·야동에  찌들어… '성범죄  공식'  예외는  없었다,성폭력피해자  보호,시정권고
3,2012안건236,조선닷컴,9.  01.,사회면,범인은  술·게임·야동에  찌들어… '성범죄  공식'  예외는  없었다,＂,＂
4,2012안건237,동아일보,9.  01.,3면,“애들은  잘  있죠”  범행  직전  PC방서  아이엄마에게 물어봐,＂,＂
5,2012안건238,동아닷컴,9.  01.,사회면,“애들은  잘  있죠”  범행  직전  PC방서  아이엄마에게 물어봐,＂,＂
6,2012안건239,경향신문,9.  03.,4면,범행  이동  경로  CCTV는  없었다,＂,＂
1,2012안건234,조선일보,9.  01.,1면,범인  고종석의  얼굴,사생활보호,시정권고
2,2012안건235,조선일보,9.  01.,"4,5면",범인은  술·게임·야동에  찌들어… '성범죄  공식'  예외는  없었다,성폭력피해자  보호,시정권고
3,2012안건236,조선닷컴,9.  01.,사회면,범인은  술·게임·야동에  찌들어… '성범죄  공식'  예외는  없었다,＂,＂
4,2012안건237,동아일보,9.  01.,3면,“애들은  잘  있죠”  범행  직전  PC방서  아이엄마에게 물어봐,＂,＂
5,2012안건238,동아닷컴,9.  01.,사회면,“애들은  잘  있죠”  범행  직전  PC방서  아이엄마에게 물어봐,＂,＂
6,2012안건239,경향신문,9.  03.,4면,범행  이동  경로  CCTV는  없었다,＂,＂
1,2012안건240,주간조선,8월 13~19(2219호),"50,51면",우리  주변에도    ‘소시오패스’가  살고  있다,피의자·피고인 신원공개,시정권고
2,2012안건241,인터넷주간조선,8월 13~19(2219호),사회면,우리  주변에도    ‘소시오패스’가  살고  있다,＂,＂
3,2012안건242,조선일보,8.  23.,3면,"전철,  안방,   여의도  대로까지  뻗친  '묻지마  칼부림'",＂,불문
4,2012안건243,조선닷컴,8.  23.,사회면,"전철,  안방,   여의도  대로까지  뻗친  '묻지마  칼부림'",＂,＂
5,2012안건244,문화일보,8.  24.,10면,고개숙인  '묻지마  범죄',＂,시정권고
6,2012안건245,서울신문,8.  25.,11면,"경쟁사회  낙오자,  분노·좌절  ‘절망  살인’으로  표출",＂,＂
7,2012안건246,인터넷 서울신문,8.  25.,사회면,"경쟁사회  낙오자,  분노·좌절  ‘절망  살인’으로  표출",＂,＂
8,2012안건247,국민일보,8.  25.,8면,동료비방이  업무보다  힘들다,＂,＂
9,2012안건248,세계닷컴,8.  26.,사회면,"여의도  칼부림'  용의자,  때늦은  후회의  눈물",＂,＂
10,2012안건249,세계일보,8.  27.,8면,옛  직장동료에  흉기난동  때늦은  후회의  눈물인가,＂,＂
11,2012안건250,조선일보,8.  27.,10면,"범행  재연하며  눈물…  시민들  ""저렇게  나약한  사람이  돌변,  더    끔찍""",＂,불문
